CODEPRA	MA	CroplandFraction	FodderlandFraction	NPGFraction	PGFraction	ForestFraction
44373	29210	0,2466	0,138	0,41329	0,15786	0,044246
33125	5150,2	0,24221	0,030872	0,070482	0,19164	0,46479
36438	107200	0,24136	0,0125	0,22645	0,16875	0,35095
52310	68321	0,23706	0,051887	0,017871	0,43145	0,26173
33126	4933,2	0,23581	0,0083281	0	0,39629	0,35957
29100	4181,1	0,23568	0,25065	0,34034	0,06338	0,10995
90303	18642	0,23512	0,042621	0,061014	0,27255	0,38869
88314	17909	0,23291	0,027584	0,010442	0,14211	0,58696
77064	50253	0,23159	0,00030078	0,0023083	0,0089149	0,75688
21442	167790	0,23037	0,013546	0,03496	0,4562	0,26493
64379	42307	0,22794	0,039308	0,17479	0,17496	0,383
61088	9918,5	0,2279	0,072491	0,069063	0,56531	0,06524
56364	52094	0,22761	0,1333	0,29539	0,13503	0,20867
08022	169290	0,22616	0,0539	0,012741	0,42831	0,27889
85373	61249	0,2258	0,15226	0,38708	0,20299	0,031867
01216	5278	0,22375	0,069733	0,10116	0,33668	0,26868
53357	205130	0,22334	0,22051	0,27146	0,19911	0,085586
11471	14717	0,22201	0,00074745	0,0053001	0,030102	0,74184
08315	42855	0,2193	0,054019	0,017034	0,30314	0,40651
30422	10173	0,21916	0,0010397	0,036707	0,036764	0,70633
13467	23205	0,21817	0,0034475	0,043438	0,21607	0,51887
78333	10804	0,21541	0	0,00055535	0,011477	0,77256
03429	124960	0,21368	0,014492	0,19327	0,40282	0,17574
54313	19214	0,21319	0,02519	0,011918	0,15468	0,59502
88313	28259	0,21299	0,042465	0,011855	0,27956	0,45313
44105	84425	0,21248	0,13687	0,43383	0,10311	0,11372
09392	75711	0,21141	0,027499	0,12639	0,26918	0,36552
33121	9041	0,20938	0,019216	0,039627	0,27895	0,45283
42193	54239	0,20884	0,078044	0,2149	0,32211	0,1761
44363	21412	0,20878	0,13277	0,34218	0,18232	0,13394
61354	173700	0,20844	0,1607	0,12691	0,33417	0,16978
58188	230000	0,20355	0,0077218	0,047322	0,36935	0,37205
58180	58558	0,20227	0,014225	0,10789	0,43352	0,2421
45063	85097	0,20072	0,014901	0,027698	0,048651	0,70803
71441	35827	0,19786	0,010737	0,024404	0,42912	0,33788
90450	3827,8	0,19747	0,064528	0,068969	0,16067	0,50837
71444	40230	0,19547	0,01213	0,033706	0,31501	0,44368
33118	9042,2	0,19464	0,0055296	0,021676	0,28091	0,49725
39203	23057	0,19216	0,0070262	0,042244	0,088695	0,66987
68450	14265	0,18877	0,051034	0,052786	0,15633	0,55108
69194	20022	0,18869	0,034561	0,17056	0,2693	0,33688
31393	20360	0,18692	0,048232	0,14961	0,22755	0,38769
35357	64934	0,18685	0,25355	0,36903	0,13774	0,052826
33115	7253,6	0,18497	0,0099261	0,021093	0,41827	0,36574
18343	89099	0,18148	0,0090349	0,021751	0,041022	0,74671
51315	26372	0,18024	0,034909	0,01039	0,14121	0,63325
52312	29144	0,17972	0,042242	0,038049	0,34422	0,39577
21441	46288	0,17857	0,0014907	0,017845	0,1	0,70209
67473	34222	0,17835	0,042545	0,064373	0,34226	0,37247
69200	12081	0,17807	0,01788	0,081452	0,24179	0,48081
14353	118440	0,17681	0,062504	0,027372	0,59683	0,13648
45343	73952	0,17367	0,0095603	0,02741	0,03724	0,75212
33114	7355,9	0,17324	0,0037588	0,014866	0,41504	0,39309
04466	30455	0,17307	0,0026596	0,051255	0,069512	0,7035
40144	8230,8	0,17306	0,037177	0,034261	0,033289	0,72222
76332	41908	0,17083	0,042689	0,028252	0,15284	0,6054
90448	9686,7	0,1684	0,020957	0,027151	0,19573	0,58776
64143	16123	0,16749	0,077654	0,19699	0,20586	0,35201
74208	10697	0,16384	0,053941	0,15986	0,28083	0,34153
44365	11245	0,15781	0,13108	0,26679	0,36373	0,080587
16432	120870	0,15743	0,047587	0,29852	0,23229	0,26417
23437	85159	0,15621	0,031541	0,19548	0,47125	0,14553
81409	87555	0,15567	0,021426	0,22957	0,23989	0,35344
88306	195470	0,15358	0,050233	0,034369	0,33152	0,43029
03178	225950	0,15354	0,022071	0,2335	0,39889	0,192
50083	15608	0,15327	0,14768	0,10315	0,46009	0,1358
